frame,North_Straight,North_Left,South_Straight,South_Left,East_Straight,East_Left,West_Straight,West_Left,Center
605,0,0,1,2,8,9,12,7,6
606,0,0,1,2,8,8,12,7,6
607,0,0,1,2,8,8,12,7,6
608,0,0,1,2,8,8,12,7,6
609,0,0,1,2,8,8,12,7,6
610,0,0,1,2,8,8,12,7,6
611,0,0,1,2,9,9,12,7,6
612,0,1,1,2,9,9,12,7,6
613,0,1,1,2,9,9,12,7,6
614,0,1,1,2,9,9,12,7,6
615,0,1,1,2,9,9,12,7,6
616,0,1,1,2,9,9,12,7,6
617,0,1,2,2,9,9,12,7,6
618,0,1,1,2,9,9,12,7,6
619,0,1,2,2,9,9,12,7,6
620,0,1,2,2,9,9,12,7,6
621,0,1,1,2,9,9,12,7,6
622,0,1,1,2,9,9,12,7,6
623,0,1,1,2,9,10,12,7,6
624,0,1,1,2,9,10,12,7,6
625,0,1,1,2,9,10,12,7,6
626,0,1,1,2,9,10,12,8,4
627,0,1,1,2,9,10,12,8,4
628,0,1,1,2,9,10,12,8,4
629,0,0,1,2,9,10,12,7,4
630,0,0,1,2,9,10,12,7,4
631,0,0,1,2,9,10,12,7,3
632,0,0,1,2,9,10,12,7,3
633,0,0,1,2,9,10,12,7,3
634,0,0,1,2,9,10,12,7,3
635,0,0,1,2,9,10,12,7,3
636,0,0,2,2,9,10,12,7,4
637,0,0,1,2,9,10,12,7,4
638,0,0,1,2,9,10,12,7,4
639,0,0,2,2,9,10,12,7,4
640,0,0,2,2,9,10,12,7,4
641,0,0,2,2,9,11,12,7,3
642,0,0,2,2,9,11,12,7,3
643,0,0,2,2,9,11,12,7,3
644,0,1,2,2,9,11,12,8,3
645,0,1,2,2,9,11,12,8,3
646,0,1,3,2,9,11,12,8,3
647,0,1,3,2,9,11,12,8,3
648,0,1,3,2,9,11,12,8,3
649,0,1,3,2,9,11,12,8,3
650,0,1,3,2,9,11,12,8,3
651,0,1,2,2,9,10,12,8,3
652,0,1,2,2,9,10,12,8,3
653,0,1,2,2,9,10,12,8,3
654,0,1,2,2,9,10,12,8,3
655,0,1,2,2,9,10,12,8,3
656,0,1,3,2,9,11,12,8,3
657,0,1,3,2,9,10,12,8,3
658,0,1,3,2,9,10,12,8,3
659,0,0,2,2,9,10,12,8,3
660,0,0,2,2,9,10,12,8,3
661,0,0,3,2,9,10,12,8,3
662,0,0,3,2,9,10,12,8,3
663,0,0,3,2,9,10,12,8,3
664,0,0,3,2,9,10,12,8,2
665,0,0,3,2,9,10,12,8,2
666,0,0,3,2,9,10,12,8,3
667,0,0,3,2,9,10,12,8,3
668,0,0,3,2,9,10,12,8,3
669,0,0,3,2,9,10,12,8,3
670,0,0,3,2,9,10,12,8,3
671,0,0,3,2,9,11,12,8,3
672,1,0,3,2,9,11,12,8,3
673,1,0,3,2,9,11,12,8,3
674,1,0,3,2,9,10,12,8,3
675,1,0,3,2,9,11,12,8,3
676,1,0,3,2,9,11,12,8,3
677,1,0,3,2,9,11,12,8,3
678,1,0,3,2,9,11,12,8,3
679,1,0,3,2,10,10,12,8,3
680,1,0,3,2,10,10,12,8,3
681,0,0,3,2,10,9,12,9,2
682,0,0,3,2,10,9,12,8,2
683,0,0,3,2,10,9,12,9,2
684,0,0,3,2,10,10,12,8,3
685,0,0,3,2,10,10,12,8,3
686,0,0,3,2,9,11,12,8,3
687,0,1,3,2,9,11,12,9,3
688,0,1,3,2,9,11,12,8,3
689,0,1,3,2,10,10,12,9,3
690,0,1,3,2,10,10,12,9,3
691,0,1,3,2,10,10,12,9,3
692,0,1,3,2,10,10,12,9,3
693,0,1,3,2,10,10,12,9,3
694,0,1,3,2,10,9,12,9,3
695,0,1,3,2,10,9,12,9,3
696,0,1,3,2,9,11,12,9,3
697,0,1,3,2,9,10,12,9,3
698,0,1,3,2,9,11,12,9,3
699,0,0,3,2,9,11,12,9,3
700,0,0,3,2,9,11,12,9,3
701,0,0,3,2,10,10,12,9,3
702,0,0,3,2,10,10,12,8,3
703,0,0,3,2,10,10,12,8,3
704,0,0,3,2,10,10,12,8,3
705,0,0,3,2,10,9,12,9,3
706,0,0,3,2,10,9,12,9,4
707,0,0,3,2,10,9,12,9,4
708,0,0,3,2,10,9,12,9,4
709,0,0,3,2,9,10,12,9,4
710,0,0,3,2,9,10,12,8,4
711,0,0,3,2,9,11,12,9,4
712,0,0,3,2,9,11,12,9,4
713,0,0,3,2,9,11,12,9,4
714,0,0,3,2,9,10,12,8,4
715,0,0,3,2,9,10,12,8,4
716,0,0,3,2,9,11,12,8,4
717,0,0,3,2,9,11,12,8,4
718,0,0,3,2,9,11,12,8,4
719,0,0,3,2,9,10,12,8,3
720,0,0,3,2,9,10,12,8,3
721,0,0,3,2,9,11,12,8,3
722,0,0,3,2,9,11,12,8,3
723,0,0,3,2,9,11,12,8,3
724,0,0,3,2,9,11,12,8,2
725,0,0,3,2,9,11,12,8,2
726,0,0,3,2,9,11,12,8,1
727,0,0,3,2,9,11,12,8,1
728,0,0,3,2,9,11,12,8,1
729,0,0,3,2,9,11,12,8,1
730,0,0,3,2,9,11,12,8,1
731,0,0,3,2,9,11,12,8,1
732,0,0,3,2,9,11,12,8,1
